,County,Month,NewPos_All,Age 0-19_cases,Age 20-39_cases,Age 40-59_cases,Age 60-79_cases,Age 80+_cases,Positive UnkAge_cases,Deaths,Age 0-19_death,Age 20-39_death,Age 40-59_death,Age 60-79_death,Age 80+_death,Positive UnkAge_death,Hospitalizations_hospitalization,Age 0-19_hospitalization,Age 20-39_hospitalization,Age 40-59_hospitalization,Age 60-79_hospitalization,Age 80+_hospitalization,Positive UnkAge_hospitalization,Political_Party,Percent Below Poverty Level,Household Income Median,Household Income Mean
0,Adams County,03,33.0,2.0,10.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,3.0,0.0,0.0,Republican,25.2,49142.0,61370.0
1,Adams County,04,16.0,1.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Republican,25.2,49142.0,61370.0
2,Adams County,05,40.0,9.0,17.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Republican,25.2,49142.0,61370.0
3,Adams County,06,77.0,5.0,28.0,29.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,Republican,25.2,49142.0,61370.0
4,Asotin County,03,4.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Republican,13.0,50423.0,65079.0
5,Asotin County,04,14.0,1.0,1.0,7.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Republican,13.0,50423.0,65079.0
6,Asotin County,05,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Republican,13.0,50423.0,65079.0
7,Asotin County,06,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Republican,13.0,50423.0,65079.0
8,Benton County,02,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Republican,12.8,65650.0,83941.0
9,Benton County,03,276.0,7.0,62.0,76.0,66.0,64.0,1.0,43.0,0.0,0.0,1.0,19.0,23.0,0.0,60.0,0.0,2.0,5.0,26.0,27.0,0.0,Republican,12.8,65650.0,83941.0
10,Benton County,04,322.0,23.0,114.0,103.0,55.0,27.0,0.0,26.0,0.0,0.0,0.0,12.0,14.0,0.0,48.0,0.0,6.0,8.0,23.0,11.0,0.0,Republican,12.8,65650.0,83941.0
11,Benton County,05,516.0,49.0,213.0,148.0,72.0,34.0,0.0,9.0,0.0,0.0,1.0,4.0,4.0,0.0,59.0,0.0,5.0,14.0,26.0,14.0,0.0,Republican,12.8,65650.0,83941.0
12,Benton County,06,841.0,106.0,357.0,245.0,92.0,41.0,0.0,7.0,0.0,0.0,0.0,1.0,6.0,0.0,68.0,0.0,7.0,20.0,22.0,19.0,0.0,Republican,12.8,65650.0,83941.0
13,Chelan County,02,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Republican,11.6,56135.0,75117.0
14,Chelan County,03,52.0,1.0,15.0,13.0,15.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,1.0,2.0,3.0,0.0,Republican,11.6,56135.0,75117.0
15,Chelan County,04,86.0,7.0,41.0,26.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,2.0,1.0,1.0,0.0,Republican,11.6,56135.0,75117.0
16,Chelan County,05,128.0,23.0,56.0,41.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,Republican,11.6,56135.0,75117.0
17,Chelan County,06,136.0,16.0,63.0,46.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Republican,11.6,56135.0,75117.0
18,Clallam County,03,13.0,0.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Democratic,15.9,49913.0,65858.0
19,Clallam County,04,6.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Democratic,15.9,49913.0,65858.0
20,Clallam County,05,9.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Democratic,15.9,49913.0,65858.0
21,Clallam County,06,15.0,2.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Democratic,15.9,49913.0,65858.0
22,Clark County,02,3.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Democratic,9.3,71636.0,91321.0
23,Clark County,03,210.0,3.0,45.0,89.0,61.0,12.0,0.0,13.0,0.0,0.0,1.0,6.0,6.0,0.0,47.0,0.0,5.0,11.0,21.0,10.0,0.0,Democratic,9.3,71636.0,91321.0
24,Clark County,04,148.0,10.0,36.0,44.0,32.0,26.0,0.0,12.0,0.0,0.0,0.0,1.0,11.0,0.0,30.0,0.0,1.0,4.0,14.0,11.0,0.0,Democratic,9.3,71636.0,91321.0
25,Clark County,05,242.0,49.0,95.0,80.0,16.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,0.0,6.0,6.0,2.0,1.0,0.0,Democratic,9.3,71636.0,91321.0
26,Clark County,06,319.0,32.0,159.0,90.0,35.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,7.0,5.0,6.0,1.0,0.0,Democratic,9.3,71636.0,91321.0
27,Columbia County,03,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Republican,11.6,51111.0,70516.0
28,Columbia County,06,7.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Republican,11.6,51111.0,70516.0
29,Cowlitz County,02,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Republican,16.0,51752.0,67765.0
30,Cowlitz County,03,27.0,1.0,8.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,6.0,1.0,0.0,Republican,16.0,51752.0,67765.0
31,Cowlitz County,04,35.0,5.0,11.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,Republican,16.0,51752.0,67765.0
32,Cowlitz County,05,49.0,3.0,21.0,19.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,Republican,16.0,51752.0,67765.0
33,Cowlitz County,06,96.0,15.0,43.0,25.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,1.0,2.0,2.0,0.0,Republican,16.0,51752.0,67765.0
34,Douglas County,03,21.0,4.0,7.0,4.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,Republican,13.3,60452.0,77297.0
35,Douglas County,04,82.0,3.0,48.0,18.0,9.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,1.0,2.0,2.0,2.0,0.0,Republican,13.3,60452.0,77297.0
36,Douglas County,05,77.0,10.0,26.0,34.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Republican,13.3,60452.0,77297.0
37,Douglas County,06,99.0,23.0,39.0,32.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,Republican,13.3,60452.0,77297.0
38,Franklin County,02,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Republican,15.7,62002.0,76571.0
39,Franklin County,03,126.0,4.0,38.0,63.0,18.0,3.0,0.0,5.0,0.0,0.0,1.0,3.0,1.0,0.0,11.0,0.0,2.0,2.0,5.0,2.0,0.0,Republican,15.7,62002.0,76571.0
40,Franklin County,04,294.0,10.0,100.0,123.0,44.0,15.0,2.0,16.0,0.0,0.0,2.0,7.0,7.0,0.0,35.0,0.0,3.0,11.0,16.0,5.0,0.0,Republican,15.7,62002.0,76571.0
41,Franklin County,05,579.0,67.0,214.0,211.0,77.0,10.0,0.0,9.0,0.0,0.0,1.0,6.0,2.0,0.0,40.0,2.0,7.0,11.0,17.0,3.0,0.0,Republican,15.7,62002.0,76571.0
42,Franklin County,06,897.0,119.0,375.0,302.0,89.0,11.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,76.0,3.0,14.0,26.0,27.0,6.0,0.0,Republican,15.7,62002.0,76571.0
43,Grant County,02,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Republican,14.4,54982.0,70214.0
44,Grant County,03,113.0,8.0,41.0,41.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,2.0,6.0,9.0,0.0,0.0,Republican,14.4,54982.0,70214.0
45,Grant County,04,67.0,9.0,31.0,19.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,Republican,14.4,54982.0,70214.0
46,Grant County,05,75.0,16.0,32.0,20.0,5.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0,Republican,14.4,54982.0,70214.0
47,Grant County,06,295.0,49.0,118.0,83.0,37.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,1.0,3.0,7.0,5.0,4.0,0.0,Republican,14.4,54982.0,70214.0
48,Grays Harbor County,02,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Republican,15.9,47770.0,62610.0
49,Grays Harbor County,03,9.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,Republican,15.9,47770.0,62610.0
