,County,WeekStartDate,NewPos_All,Age 0-19_cases,Age 20-39_cases,Age 40-59_cases,Age 60-79_cases,Age 80+_cases,Positive UnkAge_cases,dtm_updated_cases,Deaths,Age 0-19_death,Age 20-39_death,Age 40-59_death,Age 60-79_death,Age 80+_death,Positive UnkAge_death,dtm_updated_death,_merge,County_hospitalization,WeekStartDate_hospitalization,Hospitalizations_hospitalization,Age 0-19_hospitalization,Age 20-39_hospitalization,Age 40-59_hospitalization,Age 60-79_hospitalization,Age 80+_hospitalization,Positive UnkAge_hospitalization,dtm_updated_hospitalization,exists
0,Adams County,2020-03-08,4.0,0.0,1.0,1.0,2.0,0.0,0.0,7/5/2020 15:36,,,,,,,,,left_only,,,,,,,,,,,left_only
1,Adams County,2020-03-15,3.0,0.0,0.0,3.0,0.0,0.0,0.0,7/5/2020 15:36,,,,,,,,,left_only,Adams County,2020-03-15,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2020/07/05 15:36:42,both
2,Adams County,2020-03-22,9.0,0.0,1.0,4.0,4.0,0.0,0.0,7/5/2020 15:36,,,,,,,,,left_only,Adams County,2020-03-22,4.0,0.0,0.0,1.0,3.0,0.0,0.0,2020/07/05 15:36:42,both
3,Adams County,2020-03-29,17.0,2.0,8.0,4.0,3.0,0.0,0.0,7/5/2020 15:36,,,,,,,,,left_only,,,,,,,,,,,left_only
4,Adams County,2020-04-05,8.0,1.0,2.0,4.0,1.0,0.0,0.0,7/5/2020 15:36,,,,,,,,,left_only,Adams County,2020-04-05,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2020/07/05 15:36:42,both
5,Adams County,2020-04-12,2.0,0.0,1.0,1.0,0.0,0.0,0.0,7/5/2020 15:36,,,,,,,,,left_only,,,,,,,,,,,left_only
6,Adams County,2020-04-19,4.0,0.0,4.0,0.0,0.0,0.0,0.0,7/5/2020 15:36,,,,,,,,,left_only,,,,,,,,,,,left_only
7,Adams County,2020-04-26,2.0,0.0,1.0,1.0,0.0,0.0,0.0,7/5/2020 15:36,,,,,,,,,left_only,,,,,,,,,,,left_only
8,Adams County,2020-05-03,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7/5/2020 15:36,,,,,,,,,left_only,,,,,,,,,,,left_only
9,Adams County,2020-05-10,2.0,0.0,1.0,1.0,0.0,0.0,0.0,7/5/2020 15:36,,,,,,,,,left_only,,,,,,,,,,,left_only
10,Adams County,2020-05-17,5.0,0.0,1.0,4.0,0.0,0.0,0.0,7/5/2020 15:36,,,,,,,,,left_only,,,,,,,,,,,left_only
11,Adams County,2020-05-24,17.0,2.0,9.0,4.0,2.0,0.0,0.0,7/5/2020 15:36,,,,,,,,,left_only,,,,,,,,,,,left_only
