,Unnamed: 0,County,NewPos_All,Age 0-19_cases,Age 20-39_cases,Age 40-59_cases,Age 60-79_cases,Age 80+_cases,Positive UnkAge_cases,Deaths,Age 0-19_death,Age 20-39_death,Age 40-59_death,Age 60-79_death,Age 80+_death,Positive UnkAge_death,Hospitalizations_hospitalization,Age 0-19_hospitalization,Age 20-39_hospitalization,Age 40-59_hospitalization,Age 60-79_hospitalization,Age 80+_hospitalization,Positive UnkAge_hospitalization,Political_Party,Percent Below Poverty Level,Household Income Median,Household Income Mean,Population,Pop_per100k,Case_per100k,Deaths_per100k,Hoptializations_per100k,Population_Density
0,0,Adams County,166.0,17.0,63.0,59.0,25.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,5.0,4.0,0.0,0.0,Republican,25.2,49142.0,61370.0,19983.0,0.19983,830.7061001851573,0.0,45.03828254015913,9.8
1,1,Asotin County,21.0,1.0,1.0,10.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Republican,13.0,50423.0,65079.0,22582.0,0.22582,92.99442033477993,8.85661146045523,4.428305730227615,34.3
2,2,Benton County,1956.0,185.0,747.0,572.0,285.0,166.0,1.0,85.0,0.0,0.0,2.0,36.0,47.0,0.0,235.0,0.0,20.0,47.0,97.0,71.0,0.0,Republican,12.8,65650.0,83941.0,204390.0,2.0439,956.9939820930575,41.58716179852244,114.9762708547385,103.4
3,3,Chelan County,403.0,47.0,175.0,127.0,42.0,12.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,0.0,18.0,0.0,2.0,9.0,3.0,4.0,0.0,Republican,11.6,56135.0,75117.0,77200.0,0.772,522.020725388601,7.772020725388602,23.316062176165804,24.6
4,4,Clallam County,43.0,6.0,15.0,10.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,Democratic,15.9,49913.0,65858.0,77331.0,0.77331,55.60512601673326,0.0,3.8794273965162738,27.0
5,5,Clark County,922.0,94.0,335.0,304.0,145.0,44.0,0.0,30.0,0.0,1.0,1.0,8.0,20.0,0.0,111.0,0.0,19.0,26.0,43.0,23.0,0.0,Democratic,9.3,71636.0,91321.0,488241.0,4.88241,188.84116655504147,6.144506503960134,22.7346740646525,667.9
6,6,Columbia County,8.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Republican,11.6,51111.0,70516.0,3985.0,0.03985,200.75282308657467,0.0,0.0,4.6
7,7,Cowlitz County,208.0,24.0,83.0,57.0,40.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,5.0,10.0,3.0,0.0,Republican,16.0,51752.0,67765.0,110593.0,1.1059299999999999,188.07700306529344,0.0,18.08432721781668,87.5
8,8,Douglas County,279.0,40.0,120.0,88.0,22.0,8.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,13.0,1.0,1.0,3.0,5.0,2.0,1.0,Republican,13.3,60452.0,77297.0,43429.0,0.43428999999999995,642.427870777591,6.907826567500979,29.93391512583757,21.2
9,9,Franklin County,1898.0,200.0,727.0,700.0,229.0,39.0,3.0,33.0,0.0,0.0,5.0,18.0,10.0,0.0,162.0,5.0,26.0,50.0,65.0,16.0,0.0,Republican,15.7,62002.0,76571.0,95222.0,0.9522200000000001,1993.236857028838,34.655856839805935,170.12875175904728,66.8
