Rank,Population_Density,County
1,870.9/sq mi,"King, WA / 2,008,997"
2,667.9/sq mi,"Clark, WA / 438,272"
3,449.9/sq mi,"Pierce, WA / 812,689"
4,448.1/sq mi,"Kitsap, WA / 253,614"
5,335.3/sq mi,"Thurston, WA / 259,330"
6,334.8/sq mi,"Snohomish, WA / 735,351"
7,267.8/sq mi,"Spokane, WA / 476,950"
8,152.6/sq mi,"Island, WA / 78,951"
9,103.4/sq mi,"Benton, WA / 182,053"
10,87.5/sq mi,"Cowlitz, WA / 102,072"
11,81.8/sq mi,"Whatcom, WA / 204,855"
12,66.8/sq mi,"Franklin, WA / 84,508"
13,61.6/sq mi,"Skagit, WA / 118,364"
14,57.8/sq mi,"Mason, WA / 60,728"
15,57.2/sq mi,"Yakima, WA / 246,402"
16,45.8/sq mi,"Walla Walla, WA / 59,476"
17,34.3/sq mi,"Asotin, WA / 21,955"
18,32.8/sq mi,"Grant, WA / 91,458"
19,32.2/sq mi,"Grays Harbor, WA / 71,734"
20,30.9/sq mi,"Lewis, WA / 75,382"
21,27.0/sq mi,"Clallam, WA / 72,024"
22,25.5/sq mi,"San Juan, WA / 15,847"
23,24.6/sq mi,"Chelan, WA / 73,664"
24,21.2/sq mi,"Douglas, WA / 39,183"
25,21.1/sq mi,"Whitman, WA / 46,003"
26,17.9/sq mi,"Kittitas, WA / 41,705"
27,17.1/sq mi,"Stevens, WA / 43,541"
28,16.9/sq mi,"Pacific, WA / 20,665"
29,14.0/sq mi,"Wahkiakum, WA / 4,016"
30,13.7/sq mi,"Jefferson, WA / 29,978"
31,10.9/sq mi,"Klickitat, WA / 20,668"
32,9.8/sq mi,"Adams, WA / 18,951"
33,9.1/sq mi,"Pend Oreille, WA / 12,965"
34,7.8/sq mi,"Okanogan, WA / 41,241"
35,6.6/sq mi,"Skamania, WA / 11,194"
36,4.6/sq mi,"Columbia, WA / 4,031"
37,4.4/sq mi,"Lincoln, WA / 10,409"
38,3.4/sq mi,"Ferry, WA / 7,657"
39,3.1/sq mi,"Garfield, WA / 2,240"
