Counter,County,Political_Party
1,Adams County,
2,Asotin County,
3,Benton County,
4,Chelan County,
5,Clallam County,
6,Clark County,
7,Columbia County,
8,Cowlitz County,
9,Douglas County,
10,Franklin County,
11,Grant County,
12,Grays Harbor County,
13,Island County,
14,Jefferson County,
15,King County,
16,Kitsap County,
17,Kittitas County,
18,Klickitat County,
19,Lewis County,
20,Mason County,
21,Okanogan County,
22,Pacific County,
23,Pend Oreille County,
24,Pierce County,
25,San Juan County,
26,Skagit County,
27,Skamania County,
28,Snohomish County,
29,Spokane County,
30,Stevens County,
31,Thurston County,
32,Wahkiakum County,
33,Walla Walla County,
34,Whatcom County,
35,Whitman County,
36,Yakima County,
